version,task_result,strategy_profile,phase,phase_status,evidence_basis,functional_windows_may_overlap,run_dir,accepted_steps_sha256,plan_sha256,task_inputs_sha256,telemetry_sha256,video_sha256,replay_start_s,replay_end_s,duration_s,source_step_range,fast_segment_range,active_leg,candidate_support_legs,geometry_support_fraction_json,support_evidence_status,servo_commands_json,servo_target_range_deg_json,wheel_commands_json,wheel_target_range_rad_s_json,servo_wheel_concurrent,concurrent_segment_count,candidate_com_target_direction,observed_base_delta_m_json,com_evidence_status,entry_event,completion_event,active_wheel_clearance_range_m_json,peak_abs_roll_rad,peak_abs_pitch_rad,suitable_for_first_fsm,notes
v003_20260805_224517_157723_manual,REPLAY_TASK_SUCCESS_POSTURE_INCOMPLETE,PRIMARY_PROFILE,INITIAL_APPROACH,COMMAND_AND_BASE_PROXY,PRODUCTION_COMMAND_PATTERN_PLUS_MEASURED_BASE_MOTION_PROXY,True,C:\robotics_sim\wlr_robot\height_based_obstacle_replay\fsm_50mm_recording_derived_v3\runs\50mm_fast_replay\v003_20260805_224517_157723_manual\20260815T000143_524471Z_production_fast_0f413de17a,06e13153b7ba75a4283e117d875f1da4895748835a9032c6faadef2bda25b394,a53acff942cbb19782c2f804add7feaca3662202107ecffadd110a3fb4acd76c,d5a7946ca7143e8eadf1574e4892da109107cdd5897440d89bb73a97f6932c7a,e8be69e66d448fac1b9044125d638f4808e5ecec8af49a151f7f30ccb734cd56,0031f043148db9a68170f31e19154203e99ce4e9337976d65a483b2653a8771b,1.2666666666666624,14.199999999999749,12.933333333333087,3:3,6:6,,"[""FL"",""RR"",""RL""]","{""FL"":1.0,""FR"":0.0,""RL"":1.0,""RR"":1.0}",GEOMETRY_ONLY_NO_CONTACT_LOAD,[],{},"[{""segment"":6,""targets_rad_s"":{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}}]","{""front_left_ankle"":[0.3,0.3],""front_right_ankle"":[0.3,0.3],""rear_left_ankle"":[0.3,0.3],""rear_right_ankle"":[0.3,0.3]}",False,0,FORWARD,"{""x"":0.1861412599682808,""y"":-0.0015200451016426086,""z"":-0.00012041628360748291}",BASE_TRANSLATION_PROXY_ONLY_NO_COM_TELEMETRY,first pre-FR nonzero wheel command,end of the selected pre-FR wheel-command run,{},0.178786352092263,0.14711103241348847,CANDIDATE_REQUIRES_FEEDBACK_GUARD,Observed base direction +X+-Y; this is not a measured COM direction.
v003_20260805_224517_157723_manual,REPLAY_TASK_SUCCESS_POSTURE_INCOMPLETE,PRIMARY_PROFILE,PRE_FR_COM_SHIFT,COMMAND_AND_BASE_PROXY,PRODUCTION_COMMAND_PATTERN_PLUS_MEASURED_BASE_MOTION_PROXY,True,C:\robotics_sim\wlr_robot\height_based_obstacle_replay\fsm_50mm_recording_derived_v3\runs\50mm_fast_replay\v003_20260805_224517_157723_manual\20260815T000143_524471Z_production_fast_0f413de17a,06e13153b7ba75a4283e117d875f1da4895748835a9032c6faadef2bda25b394,a53acff942cbb19782c2f804add7feaca3662202107ecffadd110a3fb4acd76c,d5a7946ca7143e8eadf1574e4892da109107cdd5897440d89bb73a97f6932c7a,e8be69e66d448fac1b9044125d638f4808e5ecec8af49a151f7f30ccb734cd56,0031f043148db9a68170f31e19154203e99ce4e9337976d65a483b2653a8771b,0.0,1.199999999999996,1.199999999999996,1:2,0:5,FR,"[""FL"",""RR""]","{""FL"":1.0,""RL"":0.2631578947368421,""RR"":1.0}",GEOMETRY_ONLY_NO_CONTACT_LOAD,"[{""segment"":0,""targets_deg"":{""rear_left_hip"":19.6}},{""segment"":1,""targets_deg"":{""rear_left_hip"":25.9}},{""segment"":2,""targets_deg"":{""rear_left_hip"":28.1}},{""segment"":3,""targets_deg"":{""front_right_hip"":12.2}},{""segment"":4,""targets_deg"":{""front_right_hip"":36.5}},{""segment"":5,""targets_deg"":{""front_right_hip"":43.9}}]","{""front_right_hip"":[12.2,43.9],""rear_left_hip"":[19.6,28.1]}",[],{},False,0,TOWARD_RL_CANDIDATE,"{""x"":-0.011528179049491882,""y"":0.015370167791843414,""z"":-0.019097164273262024}",BASE_TRANSLATION_PROXY_ONLY_NO_COM_TELEMETRY,production replay begins,first pre-FR wheel-command run begins,"{""front_face"":[-0.27111190216708536,-0.21334260361361856],""top"":[-0.05083075091242793,0.16242916584014888],""wheel_center_z"":[0.04915924742817879,0.2624191641807556]}",0.17533826337031594,0.142640896887912,CANDIDATE_REQUIRES_FEEDBACK_GUARD,Observed base direction -X++Y; this is not a measured COM direction.
v003_20260805_224517_157723_manual,REPLAY_TASK_SUCCESS_POSTURE_INCOMPLETE,PRIMARY_PROFILE,FR_UNLOAD_AND_LIFT,GEOMETRY_EVENT_ANCHORED,FINAL_GEOMETRY_SUPPORT_DEPARTURE_AND_CLEARANCE_LANDMARK,True,C:\robotics_sim\wlr_robot\height_based_obstacle_replay\fsm_50mm_recording_derived_v3\runs\50mm_fast_replay\v003_20260805_224517_157723_manual\20260815T000143_524471Z_production_fast_0f413de17a,06e13153b7ba75a4283e117d875f1da4895748835a9032c6faadef2bda25b394,a53acff942cbb19782c2f804add7feaca3662202107ecffadd110a3fb4acd76c,d5a7946ca7143e8eadf1574e4892da109107cdd5897440d89bb73a97f6932c7a,e8be69e66d448fac1b9044125d638f4808e5ecec8af49a151f7f30ccb734cd56,0031f043148db9a68170f31e19154203e99ce4e9337976d65a483b2653a8771b,0.3999999999999986,0.733333333333331,0.33333333333333237,1:2,1:3,FR,"[""FL"",""RR""]","{""FL"":1.0,""RL"":0.0,""RR"":1.0}",GEOMETRY_ONLY_NO_CONTACT_LOAD,"[{""segment"":1,""targets_deg"":{""rear_left_hip"":25.9}},{""segment"":2,""targets_deg"":{""rear_left_hip"":28.1}},{""segment"":3,""targets_deg"":{""front_right_hip"":12.2}}]","{""front_right_hip"":[12.2,12.2],""rear_left_hip"":[25.9,28.1]}",[],{},False,0,"TOWARD_GEOMETRY_SUPPORT_CANDIDATES:FL,RR","{""x"":-0.0020968373864889145,""y"":0.0033293068408966064,""z"":-0.003774881362915039}",BASE_TRANSLATION_PROXY_ONLY_NO_COM_TELEMETRY,FR final geometry-support departure before crossing,"FR first sufficient top-height clearance, else pre-crossing clearance peak","{""front_face"":[-0.27111190216708536,-0.2434672679202592],""top"":[-0.03637755960226062,0.00954243242740628],""wheel_center_z"":[0.0636124387383461,0.109532430768013]}",0.0744603661598655,0.06904810082006006,YES_EVENT_GUARD_CANDIDATE,Observed base direction -X++Y; this is not a measured COM direction.
v003_20260805_224517_157723_manual,REPLAY_TASK_SUCCESS_POSTURE_INCOMPLETE,PRIMARY_PROFILE,FR_FACE_CROSS,GEOMETRY_EVENT_ANCHORED,WHEEL_CLEARANCE_AND_FRONT_FACE_GEOMETRY,True,C:\robotics_sim\wlr_robot\height_based_obstacle_replay\fsm_50mm_recording_derived_v3\runs\50mm_fast_replay\v003_20260805_224517_157723_manual\20260815T000143_524471Z_production_fast_0f413de17a,06e13153b7ba75a4283e117d875f1da4895748835a9032c6faadef2bda25b394,a53acff942cbb19782c2f804add7feaca3662202107ecffadd110a3fb4acd76c,d5a7946ca7143e8eadf1574e4892da109107cdd5897440d89bb73a97f6932c7a,e8be69e66d448fac1b9044125d638f4808e5ecec8af49a151f7f30ccb734cd56,0031f043148db9a68170f31e19154203e99ce4e9337976d65a483b2653a8771b,0.733333333333331,14.733333333333054,13.999999999999723,2:4,3:10,FR,"[""FL"",""RR"",""RL""]","{""FL"":1.0,""RL"":0.9715639810426541,""RR"":1.0}",GEOMETRY_ONLY_NO_CONTACT_LOAD,"[{""segment"":3,""targets_deg"":{""front_right_hip"":12.2}},{""segment"":4,""targets_deg"":{""front_right_hip"":36.5}},{""segment"":5,""targets_deg"":{""front_right_hip"":43.9}},{""segment"":8,""targets_deg"":{""front_right_knee"":17.3}},{""segment"":9,""targets_deg"":{""front_right_knee"":24.7}},{""segment"":10,""targets_deg"":{""front_right_hip"":35.5}}]","{""front_right_hip"":[12.2,43.9],""front_right_knee"":[17.3,24.7]}","[{""segment"":6,""targets_rad_s"":{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}}]","{""front_left_ankle"":[0.3,0.3],""front_right_ankle"":[0.3,0.3],""rear_left_ankle"":[0.3,0.3],""rear_right_ankle"":[0.3,0.3]}",False,0,"TOWARD_GEOMETRY_SUPPORT_CANDIDATES:FL,RR,RL","{""x"":0.18114946223795414,""y"":0.006911277770996094,""z"":-0.01100894808769226}",BASE_TRANSLATION_PROXY_ONLY_NO_COM_TELEMETRY,FR lift-clearance landmark,FR wheel center crosses obstacle front-face plane,"{""front_face"":[-0.2434672679202592,0.0009217296345198633],""top"":[0.00954243242740628,0.23259053826332093],""wheel_center_z"":[0.109532430768013,0.3325805366039276]}",0.178786352092263,0.14711103241348847,YES_EVENT_GUARD_CANDIDATE,Observed base direction +X++Y; this is not a measured COM direction.
v003_20260805_224517_157723_manual,REPLAY_TASK_SUCCESS_POSTURE_INCOMPLETE,PRIMARY_PROFILE,FR_TOP_PLACE,GEOMETRY_EVENT_ANCHORED,POST_CROSSING_GEOMETRIC_TOP_WITH_FACE_CLEARANCE,True,C:\robotics_sim\wlr_robot\height_based_obstacle_replay\fsm_50mm_recording_derived_v3\runs\50mm_fast_replay\v003_20260805_224517_157723_manual\20260815T000143_524471Z_production_fast_0f413de17a,06e13153b7ba75a4283e117d875f1da4895748835a9032c6faadef2bda25b394,a53acff942cbb19782c2f804add7feaca3662202107ecffadd110a3fb4acd76c,d5a7946ca7143e8eadf1574e4892da109107cdd5897440d89bb73a97f6932c7a,e8be69e66d448fac1b9044125d638f4808e5ecec8af49a151f7f30ccb734cd56,0031f043148db9a68170f31e19154203e99ce4e9337976d65a483b2653a8771b,14.733333333333054,20.999999999999364,6.2666666666663104,4:7,10:21,FR,"[""FL"",""RR"",""RL""]","{""FL"":1.0,""RL"":1.0,""RR"":1.0}",GEOMETRY_ONLY_NO_CONTACT_LOAD,"[{""segment"":10,""targets_deg"":{""front_right_hip"":35.5}},{""segment"":11,""targets_deg"":{""front_right_hip"":3.7}},{""segment"":12,""targets_deg"":{""front_right_hip"":-0.5}},{""segment"":13,""targets_deg"":{""front_right_hip"":-2.6}},{""segment"":14,""targets_deg"":{""front_right_hip"":1.6}},{""segment"":15,""targets_deg"":{""front_right_hip"":3.7}},{""segment"":16,""targets_deg"":{""front_left_hip"":0.0,""front_left_knee"":-14.5,""front_right_hip"":3.7,""front_right_knee"":24.7,""rear_left_hip"":28.1,""rear_left_knee"":0.0,""rear_right_hip"":0.0,""rear_right_knee"":0.0}},{""segment"":20,""targets_deg"":{""rear_left_hip"":27.0}},{""segment"":21,""targets_deg"":{""rear_left_hip"":16.4}}]","{""front_left_hip"":[0.0,0.0],""front_left_knee"":[-14.5,-14.5],""front_right_hip"":[-2.6,35.5],""front_right_knee"":[24.7,24.7],""rear_left_hip"":[16.4,28.1],""rear_left_knee"":[0.0,0.0],""rear_right_hip"":[0.0,0.0],""rear_right_knee"":[0.0,0.0]}","[{""segment"":16,""targets_rad_s"":{""front_left_ankle"":-1.05}},{""segment"":18,""targets_rad_s"":{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}}]","{""front_left_ankle"":[-1.05,0.3],""front_right_ankle"":[0.3,0.3],""rear_left_ankle"":[0.3,0.3],""rear_right_ankle"":[0.3,0.3]}",True,1,"TOWARD_GEOMETRY_SUPPORT_CANDIDATES:FL,RR,RL","{""x"":0.037713006138801575,""y"":-0.008763164281845093,""z"":0.006887257099151611}",BASE_TRANSLATION_PROXY_ONLY_NO_COM_TELEMETRY,FR front-face crossing,FR first geometric TOP after crossing with nonnegative face clearance,"{""front_face"":[-0.027987655569795322,0.022322419713255215],""top"":[0.005104710161685913,0.22531260251998902],""wheel_center_z"":[0.10509470850229263,0.3253026008605957]}",0.17450218426234745,0.1431653504501354,YES_EVENT_GUARD_CANDIDATE,Observed base direction +X+-Y; this is not a measured COM direction.
v003_20260805_224517_157723_manual,REPLAY_TASK_SUCCESS_POSTURE_INCOMPLETE,PRIMARY_PROFILE,FL_UNLOAD_AND_LIFT,GEOMETRY_EVENT_ANCHORED,FINAL_GEOMETRY_SUPPORT_DEPARTURE_AND_CLEARANCE_LANDMARK,True,C:\robotics_sim\wlr_robot\height_based_obstacle_replay\fsm_50mm_recording_derived_v3\runs\50mm_fast_replay\v003_20260805_224517_157723_manual\20260815T000143_524471Z_production_fast_0f413de17a,06e13153b7ba75a4283e117d875f1da4895748835a9032c6faadef2bda25b394,a53acff942cbb19782c2f804add7feaca3662202107ecffadd110a3fb4acd76c,d5a7946ca7143e8eadf1574e4892da109107cdd5897440d89bb73a97f6932c7a,e8be69e66d448fac1b9044125d638f4808e5ecec8af49a151f7f30ccb734cd56,0031f043148db9a68170f31e19154203e99ce4e9337976d65a483b2653a8771b,22.399999999999284,22.866666666665925,0.46666666666664014,8:8,24:28,FL,"[""FR"",""RR"",""RL""]","{""FR"":1.0,""RL"":1.0,""RR"":1.0}",GEOMETRY_ONLY_NO_CONTACT_LOAD,"[{""segment"":24,""targets_deg"":{""front_left_knee"":-25.1}},{""segment"":25,""targets_deg"":{""front_left_knee"":-28.2}},{""segment"":26,""targets_deg"":{""front_left_knee"":-29.3}},{""segment"":27,""targets_deg"":{""front_left_hip"":2.6}},{""segment"":28,""targets_deg"":{""front_left_hip"":34.4}}]","{""front_left_hip"":[2.6,34.4],""front_left_knee"":[-29.3,-25.1]}",[],{},False,0,"TOWARD_GEOMETRY_SUPPORT_CANDIDATES:FR,RR,RL","{""x"":-0.0010152608156204224,""y"":-0.00018594413995742798,""z"":0.0007719323039054871}",BASE_TRANSLATION_PROXY_ONLY_NO_COM_TELEMETRY,FL final geometry-support departure before crossing,"FL first sufficient top-height clearance, else pre-crossing clearance peak","{""front_face"":[-0.1658074821727311,-0.12706914203334208],""top"":[-0.0348410785198212,0.0004729226231574707],""wheel_center_z"":[0.06514891982078552,0.10046292096376419]}",0.01174725951586744,0.009414438657959916,YES_EVENT_GUARD_CANDIDATE,Observed base direction -X+-Y; this is not a measured COM direction.
v003_20260805_224517_157723_manual,REPLAY_TASK_SUCCESS_POSTURE_INCOMPLETE,PRIMARY_PROFILE,FL_FACE_CROSS,GEOMETRY_EVENT_ANCHORED,WHEEL_CLEARANCE_AND_FRONT_FACE_GEOMETRY,True,C:\robotics_sim\wlr_robot\height_based_obstacle_replay\fsm_50mm_recording_derived_v3\runs\50mm_fast_replay\v003_20260805_224517_157723_manual\20260815T000143_524471Z_production_fast_0f413de17a,06e13153b7ba75a4283e117d875f1da4895748835a9032c6faadef2bda25b394,a53acff942cbb19782c2f804add7feaca3662202107ecffadd110a3fb4acd76c,d5a7946ca7143e8eadf1574e4892da109107cdd5897440d89bb73a97f6932c7a,e8be69e66d448fac1b9044125d638f4808e5ecec8af49a151f7f30ccb734cd56,0031f043148db9a68170f31e19154203e99ce4e9337976d65a483b2653a8771b,22.866666666665925,28.266666666665618,5.399999999999693,8:10,28:38,FL,"[""FR"",""RR"",""RL""]","{""FR"":1.0,""RL"":1.0,""RR"":1.0}",GEOMETRY_ONLY_NO_CONTACT_LOAD,"[{""segment"":28,""targets_deg"":{""front_left_hip"":34.4}},{""segment"":29,""targets_deg"":{""front_left_hip"":47.1}},{""segment"":30,""targets_deg"":{""front_left_hip"":53.5}},{""segment"":31,""targets_deg"":{""front_left_knee"":-12.4}},{""segment"":32,""targets_deg"":{""front_left_knee"":-8.1}},{""segment"":33,""targets_deg"":{""front_left_hip"":41.8}},{""segment"":34,""targets_deg"":{""front_left_hip"":34.4}},{""segment"":35,""targets_deg"":{""front_left_hip"":33.4}},{""segment"":36,""targets_deg"":{""front_left_hip"":30.2}},{""segment"":37,""targets_deg"":{""front_left_hip"":28.1}}]","{""front_left_hip"":[28.1,53.5],""front_left_knee"":[-12.4,-8.1]}","[{""segment"":38,""targets_rad_s"":{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}}]","{""front_left_ankle"":[0.3,0.3],""front_right_ankle"":[0.3,0.3],""rear_left_ankle"":[0.3,0.3],""rear_right_ankle"":[0.3,0.3]}",False,0,"TOWARD_GEOMETRY_SUPPORT_CANDIDATES:FR,RR,RL","{""x"":0.048186495900154114,""y"":-0.00033721327781677246,""z"":0.014862194657325745}",BASE_TRANSLATION_PROXY_ONLY_NO_COM_TELEMETRY,FL lift-clearance landmark,FL wheel center crosses obstacle front-face plane,"{""front_face"":[-0.12706914203334208,0.0009192858440840723],""top"":[0.0004729226231574707,0.11087388992309567],""wheel_center_z"":[0.10046292096376419,0.2108638882637024]}",0.01887345967597349,0.03849826552374748,YES_EVENT_GUARD_CANDIDATE,Observed base direction +X+-Y; this is not a measured COM direction.
v003_20260805_224517_157723_manual,REPLAY_TASK_SUCCESS_POSTURE_INCOMPLETE,PRIMARY_PROFILE,FL_TOP_PLACE,GEOMETRY_EVENT_ANCHORED,POST_CROSSING_GEOMETRIC_TOP_WITH_FACE_CLEARANCE,True,C:\robotics_sim\wlr_robot\height_based_obstacle_replay\fsm_50mm_recording_derived_v3\runs\50mm_fast_replay\v003_20260805_224517_157723_manual\20260815T000143_524471Z_production_fast_0f413de17a,06e13153b7ba75a4283e117d875f1da4895748835a9032c6faadef2bda25b394,a53acff942cbb19782c2f804add7feaca3662202107ecffadd110a3fb4acd76c,d5a7946ca7143e8eadf1574e4892da109107cdd5897440d89bb73a97f6932c7a,e8be69e66d448fac1b9044125d638f4808e5ecec8af49a151f7f30ccb734cd56,0031f043148db9a68170f31e19154203e99ce4e9337976d65a483b2653a8771b,28.266666666665618,57.73333333333061,29.466666666664995,10:11,38:40,FL,"[""FR"",""RR"",""RL""]","{""FR"":1.0,""RL"":1.0,""RR"":1.0}",GEOMETRY_ONLY_NO_CONTACT_LOAD,"[{""segment"":40,""targets_deg"":{""front_left_hip"":28.1,""front_left_knee"":-8.1,""front_right_hip"":3.7,""front_right_knee"":-10.2,""rear_left_hip"":1.6,""rear_left_knee"":0.0,""rear_right_hip"":0.0,""rear_right_knee"":0.0}}]","{""front_left_hip"":[28.1,28.1],""front_left_knee"":[-8.1,-8.1],""front_right_hip"":[3.7,3.7],""front_right_knee"":[-10.2,-10.2],""rear_left_hip"":[1.6,1.6],""rear_left_knee"":[0.0,0.0],""rear_right_hip"":[0.0,0.0],""rear_right_knee"":[0.0,0.0]}","[{""segment"":38,""targets_rad_s"":{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}},{""segment"":40,""targets_rad_s"":{""front_right_ankle"":-2.09}}]","{""front_left_ankle"":[0.3,0.3],""front_right_ankle"":[-2.09,0.3],""rear_left_ankle"":[0.3,0.3],""rear_right_ankle"":[0.3,0.3]}",True,1,"TOWARD_GEOMETRY_SUPPORT_CANDIDATES:FR,RR,RL","{""x"":0.4486970752477646,""y"":0.008765436708927155,""z"":-0.02241521328687668}",BASE_TRANSLATION_PROXY_ONLY_NO_COM_TELEMETRY,FL front-face crossing,FL first geometric TOP after crossing with nonnegative face clearance,"{""front_face"":[0.0009192858440840723,0.4422811899883712],""top"":[0.00221182107925412,0.05085090994834897],""wheel_center_z"":[0.10220181941986084,0.1508409082889557]}",0.0207293366020491,0.05241212411656175,YES_EVENT_GUARD_CANDIDATE,Observed base direction +X++Y; this is not a measured COM direction.
v003_20260805_224517_157723_manual,REPLAY_TASK_SUCCESS_POSTURE_INCOMPLETE,PRIMARY_PROFILE,FRONT_PAIR_ADVANCE,COMMAND_AND_BASE_PROXY,PRODUCTION_COMMAND_PATTERN_PLUS_MEASURED_BASE_MOTION_PROXY,True,C:\robotics_sim\wlr_robot\height_based_obstacle_replay\fsm_50mm_recording_derived_v3\runs\50mm_fast_replay\v003_20260805_224517_157723_manual\20260815T000143_524471Z_production_fast_0f413de17a,06e13153b7ba75a4283e117d875f1da4895748835a9032c6faadef2bda25b394,a53acff942cbb19782c2f804add7feaca3662202107ecffadd110a3fb4acd76c,d5a7946ca7143e8eadf1574e4892da109107cdd5897440d89bb73a97f6932c7a,e8be69e66d448fac1b9044125d638f4808e5ecec8af49a151f7f30ccb734cd56,0031f043148db9a68170f31e19154203e99ce4e9337976d65a483b2653a8771b,28.266666666665618,58.733333333330556,30.46666666666494,10:11,38:40,,"[""FR"",""RR"",""RL""]","{""FL"":0.006550218340611353,""FR"":1.0,""RL"":1.0,""RR"":0.9978165938864629}",GEOMETRY_ONLY_NO_CONTACT_LOAD,"[{""segment"":40,""targets_deg"":{""front_left_hip"":28.1,""front_left_knee"":-8.1,""front_right_hip"":3.7,""front_right_knee"":-10.2,""rear_left_hip"":1.6,""rear_left_knee"":0.0,""rear_right_hip"":0.0,""rear_right_knee"":0.0}}]","{""front_left_hip"":[28.1,28.1],""front_left_knee"":[-8.1,-8.1],""front_right_hip"":[3.7,3.7],""front_right_knee"":[-10.2,-10.2],""rear_left_hip"":[1.6,1.6],""rear_left_knee"":[0.0,0.0],""rear_right_hip"":[0.0,0.0],""rear_right_knee"":[0.0,0.0]}","[{""segment"":38,""targets_rad_s"":{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}},{""segment"":40,""targets_rad_s"":{""front_right_ankle"":-2.09}}]","{""front_left_ankle"":[0.3,0.3],""front_right_ankle"":[-2.09,0.3],""rear_left_ankle"":[0.3,0.3],""rear_right_ankle"":[0.3,0.3]}",True,1,FORWARD,"{""x"":0.44128529727458954,""y"":0.0039987713098526,""z"":0.001809053122997284}",BASE_TRANSLATION_PROXY_ONLY_NO_COM_TELEMETRY,FL front-face crossing has occurred,selected wheel-command run before RR final unload ends,{},0.04137712476711073,0.0880307820905735,CANDIDATE_REQUIRES_FEEDBACK_GUARD,Observed base direction +X++Y; this is not a measured COM direction.
v003_20260805_224517_157723_manual,REPLAY_TASK_SUCCESS_POSTURE_INCOMPLETE,PRIMARY_PROFILE,PRE_RR_COM_SHIFT,COMMAND_AND_BASE_PROXY,PRODUCTION_COMMAND_PATTERN_PLUS_MEASURED_BASE_MOTION_PROXY,True,C:\robotics_sim\wlr_robot\height_based_obstacle_replay\fsm_50mm_recording_derived_v3\runs\50mm_fast_replay\v003_20260805_224517_157723_manual\20260815T000143_524471Z_production_fast_0f413de17a,06e13153b7ba75a4283e117d875f1da4895748835a9032c6faadef2bda25b394,a53acff942cbb19782c2f804add7feaca3662202107ecffadd110a3fb4acd76c,d5a7946ca7143e8eadf1574e4892da109107cdd5897440d89bb73a97f6932c7a,e8be69e66d448fac1b9044125d638f4808e5ecec8af49a151f7f30ccb734cd56,0031f043148db9a68170f31e19154203e99ce4e9337976d65a483b2653a8771b,57.73333333333061,58.733333333330556,0.9999999999999432,11:11,40:40,RR,"[""FR"",""RL""]","{""FL"":0.1875,""FR"":1.0,""RL"":1.0}",GEOMETRY_ONLY_NO_CONTACT_LOAD,"[{""segment"":40,""targets_deg"":{""front_left_hip"":28.1,""front_left_knee"":-8.1,""front_right_hip"":3.7,""front_right_knee"":-10.2,""rear_left_hip"":1.6,""rear_left_knee"":0.0,""rear_right_hip"":0.0,""rear_right_knee"":0.0}}]","{""front_left_hip"":[28.1,28.1],""front_left_knee"":[-8.1,-8.1],""front_right_hip"":[3.7,3.7],""front_right_knee"":[-10.2,-10.2],""rear_left_hip"":[1.6,1.6],""rear_left_knee"":[0.0,0.0],""rear_right_hip"":[0.0,0.0],""rear_right_knee"":[0.0,0.0]}","[{""segment"":40,""targets_rad_s"":{""front_right_ankle"":-2.09}}]","{""front_right_ankle"":[-2.09,-2.09]}",True,1,TOWARD_FL_OR_FRONT_SUPPORT_CANDIDATE,"{""x"":-0.007411777973175049,""y"":-0.0047666653990745544,""z"":0.024224266409873962}",BASE_TRANSLATION_PROXY_ONLY_NO_COM_TELEMETRY,FL reaches stable geometric TOP after crossing,RR final geometry-support departure before crossing,"{""front_face"":[-0.1646062101619279,-0.15105935590434427],""top"":[-0.050132180750370056,-0.036945971846580536],""wheel_center_z"":[0.049857817590236664,0.06304402649402618]}",0.04137712476711073,0.0880307820905735,CANDIDATE_REQUIRES_FEEDBACK_GUARD,Observed base direction -X+-Y; this is not a measured COM direction.
